frame,x,y,radius
95,317.18,148.29,14.5
95,372.16,132.46,16.0
96,119.56,200.37,15.300000000000004
96,64.63,80.32,13.999999999999996
96,335.6,316.94,16.0
96,317.74,384.34,15.0
96,317.55,149.32999999999998,16.44999999999999
96,371.72,133.58,16.0
97,119.19999999999999,201.3,16.4
97,65.65,79.74,16.65
97,336.69,315.65999999999997,18.649999999999977
97,319.7,384.0,17.30000000000001
97,316.85,149.41,17.150000000000006
97,371.92,132.7,16.0
98,119.62,202.12,19.1
98,64.29,79.21000000000001,17.05
98,337.45,316.04999999999995,17.889999999999986
98,319.2,384.01,18.80000000000001
98,315.34000000000003,150.95,17.900000000000006
98,371.4,132.47,17.5
99,119.98,199.84,18.700000000000003
99,65.04,79.2,14.000000000000004
99,335.19,317.81,17.149999999999977
99,318.06,383.26,16.899999999999977
99,316.47,148.65,16.77000000000001
99,371.18,131.7,17.5
100,119.98,200.22,18.700000000000003
100,64.28999999999999,77.82000000000001,17.029999999999998
100,337.08,315.52,16.0
100,316.16,384.0,15.0
100,316.85,147.92000000000002,17.150000000000006
100,370.16,131.7,16.0
101,120.23,201.04000000000002,15.980000000000004
101,64.65,78.67,16.65
101,336.57,316.63,16.0
101,317.74,383.34,15.0
101,316.87,149.32,14.5
101,370.72,133.58,16.0
102,118.5,199.0,15.5
102,64.5,79.0,16.5
102,335.0,315.0,16.0
102,317.0,384.0,15.0
102,316.5,148.5,14.5
102,369.0,134.5,16.0
103,118.5,199.0,15.5
103,64.5,79.0,16.5
103,334.0,315.0,16.0
103,316.0,383.0,15.0
103,315.5,148.5,14.5
103,370.0,133.5,16.0
104,118.5,200.0,15.5
104,64.5,79.0,16.5
104,334.0,315.0,16.0
104,316.0,383.0,15.0
104,317.5,149.5,14.5
104,370.0,134.5,16.0
105,118.5,199.0,15.5
105,64.5,79.0,16.5
105,334.0,315.0,16.0
105,316.0,383.0,15.0
105,317.5,149.5,14.5
105,369.0,135.5,16.0
106,119.5,200.0,15.5
106,64.5,79.0,16.5
106,334.0,316.0,16.0
106,317.0,383.0,15.0
106,317.5,149.5,14.5
106,368.0,134.5,16.0
107,119.5,200.0,15.5
107,64.5,79.0,16.5
107,334.0,316.0,16.0
107,316.0,383.0,15.0
107,317.5,149.5,14.5
107,368.0,134.5,16.0
108,119.5,200.0,15.5
108,64.5,79.0,16.5
108,334.0,316.0,16.0
108,317.0,384.0,15.0
108,317.5,149.5,14.5
108,368.0,134.5,16.0
109,119.5,199.0,15.5
109,63.5,79.0,16.5
109,334.0,316.0,16.0
109,317.0,382.0,15.0
